Acolyte, Tradition. The ancient traditions of worship and sacrifice must be preserved and upheld. (Lawful)
Acolyte, Charity. I always try to help those in need, no matter what the personal cost. (Good)
Acolyte, Change. We must help bring about the changes the gods are constantly working in the world. (Chaotic)
Acolyte, Power. I hope to one day rise to the top of my faith's hierarchy. (Lawful)
Acolyte, Faith. I trust that my deity will guide my actions. I have faith that is I work hard, things will go well. (Lawful)
Acolyte, Aspiration. I seek to prove myself worthy of my god's favor by matching my actions against his or her teachings. (Any)
Charlatan, Independence. I am a free spirit - no one tells me what to do. (Chaotic)
Charlatan, Fairness. I never target people who can't afford to lose a few coins. (Lawful)
Charlatan, Charity. I distribute the money I acquire to the people who really need it. (Good)
Charlatan, Creativity. I never run the same con twice. (Chaotic)
Charlatan, Friendship. Material goods come and go. Bonds of friendship last forever. (Good)
Charlatan, Aspiration. I'm determined to make something of myself. (Any)
Criminal, Honor. I don't steal from others in the trade. (Lawful)
Criminal, Freedom. Chains are meant to be broken, as are those who would forge them. (Chaotic)
Criminal, Charity. I steal from the wealthy so that I can help people in need. (Good)
Criminal, Greed. I will do whatever it takes to become wealthy. (Evil)
Criminal, People. I'm loyal to my friends, not to any ideals, and everyone else can take a trip down the Styx for all I care. (Neutral)
Criminal, Redemption. There's a spark of good in everyone. (Good)
Entertainer, Beauty. When I perform, I make the world better than it was. (Good)
Entertainer, Tradition. The stories, legends, and songs of the past must never be forgotten, for they teach us who we are. (Lawful)
Entertainer, Creativity. The world is in need of new ideas and bold action. (Chaotic)
Entertainer, Greed. I'm only in it for the money and fame. (Evil)
Entertainer, People. I like seeing the smiles on people's faces when I perform. That's all that matters. (Neutral)
Entertainer, Honesty. Art should reflect the soul; it should come from within and reveal who we really are. (Any)
FolkHero, Respect. People deserve to be treated with dignity and respect. (Good)
FolkHero, Fairness. No one should get preferential treatment before the law, and no one is above the law. (Lawful)
FolkHero, Freedom. Tyrants must not be allowed to oppress the people. (Chaotic)
FolkHero, Might. If I become strong, I can take what I want - what I deserve. (Evil)
FolkHero, Sincerity. There's no good in pretending to be something I'm not. (Neutral)
FolkHero, Destiny. Nothing and no one can steer me away from my higher calling. (Any)
GuildArtisan, Community. It is the duty of all civilized people to strengthen the bonds of community and the security of civilization. (Lawful)
GuildArtisan, Generosity. My talents were given to me so that I could use them to benefit the world. (Good)
GuildArtisan, Freedom. Everyone should be free to pursue his or her own livelihood. (Chaotic)
GuildArtisan, Greed. I'm only in it for the money. (Evil)
GuildArtisan, People. I'm committed to the people I care about, not to ideals. (Neutral)
GuildArtisan, Aspiration. I work hard to be the best there is at my craft. (Any)
Hermit, Greater Good. My gifts are meant to be shared with all. not used for my own benefit. (Good)
Hermit, Logic. Emotions must not cloud our sense of what is right and true, or our logical thinking. (Lawful)
Hermit, Free Thinking. Inquiry and curiosity are the pillars of progress. (Chaotic)
Hermit, Power. Solitude and contemplation are paths toward mystical or magical power. (Evil)
Hermit, Live and Let Live. Meddling in the affairs of others only causes trouble. (Neutral)
Hermit, Self-Knowledge. If you know yourself, there's nothing left to know. (Any)
Noble, Respect. Respect is due to me because of my position, but all people regardless of station deserve to be treated with dignity. (Good)
Noble, Responsibility. It is my duty to respect the authority of those above me, just as those below me must respect mine. (Lawful)
Noble, Independence. I must prove that I can handle myself without the coddling of my family. (Chaotic)
Noble, Power. If I can attain more power, no one will tell me what to do. (Evil)
Noble, Family. Blood runs thicker than water. (Any)
Noble, Noble Obligation. It is my duty to protect and care for the people beneath me. (Good)
Outlander, Change. Life is like the seasons, in constant change, and we must change with it. (Chaotic)
Outlander, Greater Good. It is each person's responsibility to make the most happiness for the whole tribe. (Good)
Outlander, Honor. If I dishonor myself, I dishonor my whole tribe. (Lawful)
Outlander, Might. The strongest are meant to rule. (Evil)
Outlander, Nature. The natural world is more important than all the constructs of civilization. (Neutral)
Outlander, Glory. I must earn glory in battle, for myself and my clan. (Any)
Sage, Knowledge. The path to power and self-improvement is through knowledge. (Neutral)
Sage, Beauty. What is beautiful points us beyond itself to what is true. (Good)
Sage, Logic. Emotions must not cloud our logical thinking. (Lawful)
Sage, No Limits. Nothing should fetter the infinite possibility inherent in all existence. (Chaotic)
Sage, Power. Knowledge is the path to power and domination. (Evil)
Sage, Self-Improvement. The goal of a life of study is the betterment of oneself. (Any)
Sailor, Respect. The thing that keeps a ship together is mutual respect between the captain and crew. (Good)
Sailor, Fairness. We all do the work, so we all share in the rewards. (Lawful)
Sailor, Freedom. The sea is freedom - the freedom to go anywhere and do anything. (Chaotic)
Sailor, Mastery. I'm a predator, and the other ships on the sea are my prey. (Evil)
Sailor, People. I'm committed to my crewmates, not to ideals. (Neutral)
Sailor, Aspiration. Someday I'll own my own ship and chart my own destiny. (Any)
Soldier, Greater Good. Our lot is to lay down our lives in defense of others. (Good)
Soldier, Responsibility. I do what I must and obey just authority. (Lawful)
Soldier, Independence. When people follow orders blindly. they embrace a kind of tyranny. (Chaotic)
Soldier, Might. In life as in war, the stronger force wins. (Evil)
Soldier, Live and Let Live. Ideals aren't worth killing over or going to war for. (Neutral)
Soldier, Nation. My city, nation, or people are all that matter. (Any)
Urchin, Respect. All people, rich or poor, deserve respect. (Good)
Urchin, Community. We have to take care of each other, because no one else is going to do it. (Lawful)
Urchin, Change. The low are lifted up, and the high and mighty are brought down. Change is the nature of things. (Chaotic)
Urchin, Retribution. The rich need to be shown what life and death are like in the gutters. (Evil)
Urchin, People. I help the people who help me - that's what keeps us alive. (Neutral)
Urchin, Aspiration. I'm going to prove that I'm worthy of a better life. (Any)
